Name, avg_words_per_line
Michael,6
Jim,4
Pam,4
Dwight,6
Jan,4
Michel,5
Todd Packer,8
Phyllis,4
Stanley,4
Oscar,4
Angela,4
Kevin,4
Ryan,4
Man,3
Roy,4
Documentary Crew Member,6
Mr. Brown,5
Toby,4
Kelly,5
Meredith,4
Travel Agent,6
Man on Phone,6
Everybody,4
Lonny,4
Darryl,5
Teammates,1
Michael and Dwight,4
Warehouse worker,3
Madge,1
Worker,2
Packer,4
Warehouse Worker,4
Katy,2
Guy at bar,2
Other Guy at Bar,4
Guy At Bar,3
Pam and Jim,3
Employee,5
Chili's Employee,17
Waitress,2
Manager,3
Kevin's computer,2
Warehouse Guy,1
Warehouse guy,3
Warehouse guys,5
Video,4
Man in Video,12
Actor,3
Redheaded Actress,3
Mr. O'Malley,4
Albiny,7
Pam's Mom,1
Carol,3
Bill,4
Everyone,2
Crowd,1
song,6
Song,1
Dwight and Michael,5
Sherri,2
Creed,5
Devon,5
Children,6
Kid,2
Vance Refrigeration Worker #1,5
Vance Refrigeration Worker #2,3
Hank the Security Guard,2
Ira,4
Ryan's Voicemail,20
Master,4
Alyssa,4
Christian,4
Hostess,3
Michael and Christian,3
Sadiq (IT guy),2
Mark,14
Improv Teacher,5
Mary-Beth,3
Girl acting Pregnant,9
Actress,1
Michael and Jim,9
Kevin & Oscar,5
All,3
Liquor Store Clerk,3
JIm,2
Bob Vance,3
Phyllis, Meredith, Michael, Kevin,2
Captain Jack,6
Brenda,2
Darryl and Katy,5
Jim and Pam,1
Billy Merchant,5
Doctor,3
Lab Tech,7
Dana,2
Hooter's Girls,16
Phylis,3
Gil,3
Pam and others,7
Ed,2
Todd,6
Jim's voicemail,3
Women,6
Guy,3
Men,2
Group chant,4
All the Men,4
Dwight and Roy,2
Delivery man,2
Craig,5
Josh,4
David,4
Dan,1
Receptionist,3
Overhead,12
Speaker,8
Jim and Dwight,3
Melissa,3
Sasha,2
Abby,2
Jake,2
The Kids,4
Kids,2
Miss Trudy,6
Edward R. Meow,4
Chet,2
Young Michael,3
Delivery Woman,2
Delivery Boy,4
Office Staff,16
Store Employee,5
Pam/Jim,3
Linda,3
Hank,3
Sheriff,3
I.D. Photographer,1
Photographer,4
Anglea,7
Female worker,2
Billy's Girlfriend,2
Billy,4
Dealer,4
Bob,3
Meredith's Vet,2
Andy,6
Karen,4
Jerome Bettis,2
Ted,1
Waiter,3
Jim, Josh, and Dwight,2
Evan,3
Alan,6
Ryan and others,4
Hannah,3
Announcer,5
Pretzel guy,12
Cousin Mose,4
Tony,3
Server,2
Girls,6
Kelly's Mom,3
Kelly's Father,2
Young Man,4
Andy and Jim,4
Mrs. Kapoor,3
Mr. Kapoor,1
M ichael,5
Dwight:,8
Martin,6
Male voice,2
Michael & Dwight,3
Andy & Michael,4
Chef,3
Woman at bar,3
Cindy,2
Second Cindy,2
Other waitress,2
Andy and Michael,27
Both,4
Someone,2
Harvey,4
Buyer,4
Kenny,3
Julius,3
Phone,10
Staples Guy,6
MIchael,31
Lady,4
Paris,4
Marcy,3
Ben Franklin,4
Elizabeth,3
Priest,4
Uncle Al,2
Randy,3
Unknown,1
College Student,1
Business Student #1,6
Business Student #2,4
Business Student #3,2
Woman,2
Artist,2
Student 1,4
Student 2,2
Student 3,8
Rachel,2
Dan Gore,1
Bartender,3
Child,2
Hunter,2
Darry,5
Micheal,3
Larry,2
Chad Lite,3
Jamie,2
Barbara,3
School Official,2
Barbara Allen,2
Spanish Teacher,2
Denise,2
Group,3
IT Tech Guy,9
Nurse,4
Intern,4
Pediatrician,9
Robert Dunder,6
Amy,4
GPS,2
Larry Myers,3
Ex-client,3
Voice of Thomas Dean,7
sAndy,7
DunMiff/sys,6
DwightKSchrute,4
Tech Guy,3
Angels,2
Pizza guy,2
Voice #1 on phone,1
Voice #2 on phone,2
Micahel,4
Michae,3
Nick,7
Mose,2
Co-Worker 1,2
Stanely,1
Micael,1
Vikram,3
Co-Worker 2,4
Co-Worker 3,1
Mr. Figaro,2
Oscar and Stanley,2
Ad guy 1,4
Ad guy 2,2
David Wallace,5
Andy, Creed, Kevin, Kelly, Darryl,11
Andy, Creed, Kevin, Kelly,5
Michael's Ad,79
Rolando,5
Ben,4
Security guard,9
Lester,7
Diane Kelly,7
Diane,6
Deposition Reporter,15
Council,22
Hunter's CD,21
Officer 1,4
Officer 2,4
Officer,3
Neighbor,3
Wendy's phone operator,2
Margaret,3
Coffee shop worker,10
Jan [on phone],6
W.B. Jones,2
Paul Faust,3
Bill Cress,2
Paul,6
Michael/Dwight,29
Troy,4
Girl in Club,2
Tall Girl #1,3
All Girls,1
Tall Girl #2,1
Girl in 2nd club,3
Cleaning lady,1
Michael and Darryl,2
Phil Maguire,3
Phil,6
Justin,2
Angela and Dwight,10
Maguire,3
Woman on mic,9
Graphics guy,5
Brad,3
Air Force recruiter,4
Holly,4
Woman over speakerphone,2
Vance Refrigeration guy,2
Holy,4
Co-workers,3
Ronnie,2
Professor,12
Friend,5
JIM9334 [screen name],3
Receptionitis15 [screen name],3
JIM9334,8
Receptionitis15,4
Michael & Holly,9
Dight,1
Kendall,7
Michael [on phone],3
Pam [on phone],3
Man on phone,7
Hank [the security guard],12
Guy in audience,1
Michael and Holly,6
Michael, Holly, and Darryl,7
Tom,3
Pete,4
Holly & Darryl,3
Holly & Michael,9
Mother,2
Alex,8
Customer,2
Kevin & Andy,1
Stanley & Phyllis,2
Stewardess,3
Beth,3
Concierge,7
Marie,2
Guy at table,1
Concierge Marie,1
Client,2
Dacvid Walalce,4
David Wallcve,2
Dacvid Wallace,1
Leo,1
Vance Refrigeration Guy,5
Police Officer 1,2
Police Officer 2,3
Guy buying doll,3
Rehab Nurse,2
Everyone watching,1
Entire Prince family,1
Prince Grandfather,4
Entire office,1
Prince,5
Prince Granddaughter,1
Prince Grandmother,4
Prince Son,8
Phyllis and Creed,5
Lawyer,5
CPR trainer,8
CPR Trainer,3
Rose,6
Jessica Alba,3
Lily,5
Sam,10
Warehouse Michael,7
Julia,3
A.J.,2
Phone Salesman,3
Jim, Pam, Michael and Dwight,1
Blood Drive Worker,3
Blood Girl,2
Lynn,2
Blonde,4
Eric,4
Girl,7
Charles,4
Stephanie,2
Employees,13
Isaac,3
Angela and Kelly,9
Supervisor,4
Michal,7
Nana,2
Chares,3
Old Woman,2
Erin,4
Dwight and Erin,5
Dwight and Andy,8
Michael, Pam & Ryan,16
Secretary,3
Automated phone voice,7
Mr. Schofield,2
Financial Guy,4
Ty,4
Jessica,3
Vance Refrigeration Guy 1,2
Vance Refrigeration Guy 2,1
VRG 1,2
VRG 2,2
Rolph,5
AJ,2
Man from Buffalo,7
Woman from Buffalo,1
Dwight & Andy,8
Female Intern,5
Female intern,2
Maurie,4
Dwight, Jim & Pam,3
Jim & Pam,1
Megan,3
Gwenneth,1
Front Desk Clerk,3
Mr. Halpert,1
Mema,6
Mr. Beesly,6
Little Girl,3
Penny,4
Isabel,3
Hotel Employee,5
Hotel Manager,5
Pam's mom,3
Tom Halpert,3
Pete Halpert,2
Tom and Pete,2
Pam's dad,3
Grotti,5
Andy and Dwight,4
Credit card rep,16
Rep,5
Various,4
Keena Gifford,3
Helene,5
David Wallace's Secretary,3
Voice on CD player,18
Limo Driver,3
Laurie,3
Registrar,4
Security,3
Woman in line,2
Man in line,1
Shareholder,2
Female Shareholder,1
Second Shareholder,6
Third Shareholder,5
Fourth Shareholder,3
O'Keefe,2
Mikela,2
Students,10
Teacher,13
Lefevre,5
Zion,6
Deliveryman,7
Michael and Erin,18
Daryl,5
Office,1
Kelly and Erin,6
Matt,2
Computron,4
Fake Stanley,1
Gabe,7
Andy & Erin,14
Christian Slater,31
Jo Bennett,10
Jo,7
Jerry,4
Teddy Wallace,4
Mrs. Wallace,5
Teddy,1
Dwight, Jim and Michael,1
Policeman,7
Hospital employee,3
(Pam's mom) Heleen,1
Kathy,3
Dale,1
Clark,4
Isabelle,3
D,7
Warehouse guy 1,2
Warehouse guy 2,1
Reid,5
Night cleaning crew,9
Meredith, Creed, Oscar and Matt,2
Miichael,1
Julie,2
Hide,8
Bar Manager,3
Bouncer,2
Girl at table,1
Cookie Monster,11
Dwight.,2
Hayworth's waiter,2
Oscar's voice from the computer,11
Donna,3
Michael and Donna,5
Mihael,1
Old lady,5
Glen,3
Gym Instructor,3
Gym instructor,5
Dwight and Angela,2
Shane,2
Reporter,3
Realtor,6
Luke,4
Window treatment guy,4
Angel,2
Salesman,2
Usher,6
Shelby,2
Sweeney Todd,5
Mexican Man,2
Son,2
Nate,6
Employees except Dwight,2
Astrid,2
Carroll,3
Carrol,5
Danny,4
Steve,2
Darryl and Andy,12
Church congregation,4
Pastor,12
Female church member,7
Male church member,3
Female church member [to Michael],2
Doug [church member],5
Doug,4
Mee-Maw,9
MeeMaw,4
Carla,4
Jim's Dad,7
Bus driver,3
Michael and Andy,6
Another guy,6
Radio,20
Cece,1
TV,5
Meridith,2
Robotic Voice,5
Ryan and Michael,1
Phyliss,5
Dwight & Nate,4
Passer-by,1
Bass Player,2
Justine,3
Jada,3
Robert,7
Darrly,4
Member,2
Video Michael,4
Bookstore employee,4
DJ,5
David Brent,31
Older guy,6
Phyllis, Stanley, Dwight,1
Younger Guy,8
Older Woman,3
Professor Powell,5
Ryan and Kelly,3
Helen,5
Attendant,3
Hot Dog Guy,2
Cell Phone Sales Person,6
Boom Box,14
Andy and Erin,4
Holly's Mom,2
Holly's Dad,2
Deangelo,7
Deangelo/Michael,2
Denagelo,2
Darryl's sister,5
DeAngelo,9
Audience,1
Together,2
Erin and Kelly,3
abe,11
Rory,5
DeAgnelo,10
Jordan,2
Dwight [on phone],3
Mose [on phone],1
All but Oscar,1
Darryl and Angela,1
Fred Henry,10
Fred,5
Warren Buffett,2
Warren,8
Robert California,8
Merv Bronte,5
Merv,9
Nellie Bertram,4
Nellie,6
Finger Lakes Guy,28
Pam as fourth-biggest client,5
Pam as ninth-biggest client,6
Darryl & Oscar,3
Tattoo Artist,2
Female Applicant,2
Male Applicant 1,3
Male Applicant 2,3
Gideon,8
Bruce,1
Dwight, Erin, Jim & Kevin,20
Walter,4
Ellen,2
Walter Jr,4
Andy & Walter,2
Walter & Walter Jr,15
Erin's Cell Phone,3
Bert,3
Gabe/Kelly/Toby,11
Andy/Pam,8
Andy/Stanley,2
Val,3
Warehouse Crew,1
Cathy,4
Offscreen,2
Curtis,5
Drummer,3
Pam and Kelly,2
Old Man,1
Andy and Darryl,3
Darryl and Kevin,2
Park Ranger,2
Chelsea,5
Archivist,4
Narrator,11
Soldier,13
Amanda,41
Susan,3
Andy/Oscar,3
Bob's Secretary,3
Mrs. California,2
Host,9
Queerenstein Bears,2
Oscar's friend,2
Stu,2
Stonewall Host,11
Meredith & Kelly,4
Einsteins,1
Senator Lipton,3
Ernesto,4
Officer Foley,5
Andy, Darryl & Officer Foley,14
Saleswoman,1
Emergency Operator,4
Paramedic,3
Donna Muraski,6
Wally Amos,5
Angela/Pam,1
Brandon,4
Blogger,2
Blogger 2,6
Lady Blogger,4
Patty,1
Old Lady,5
Others,1
Elderly Woman,3
Irene,5
Alonzo,6
Glenn,3
Erin and Irene,4
Kevin & Meredith,2
Lauren,5
Party guests,9
Magician,8
Ravi,6
Robert & Creed,2
Wrangler,3
Senator,8
Vet,6
Harry,5
Mr. Ramish,3
Calvin,1
Off-camera,2
Rafe,1
Fake Jim,8
Voicemail,2
Nellie and Pam,2
Group: Dunder Mifflin!
Andy: Andy Bernard presents: Summer Softball Epic Fails! [Kevin swings bat on screen, fart noise follows] Fail. [repeats] Fail,1
[repeats]
Andy: Fail,1
[Clark and Pete are shown on screen]
Video Andy: Hey, I'm Pete, puberty is such a drag, man. And I'm Clark! I like to eat toilet paper. [Clark and Pete wave at camera] We fail! [Video shows memorial of Jerry,1
Phyllis, Kevin & Stanley,5
HCT,2
HCT Member #1,2
HCT Member #2,6
Broccoli Rob,9
Businessman #1,2
Businessman #2,6
Businessman #3,4
HCT Member #3,5
White,4
Boat Guy,4
Walt Jr.,7
Senator Liptop,8
Guys in breakroom,1
Business partner,4
Molly,7
Colin,3
Trevor,4
Julius Irving,7
New Instant Message,12
Suit Store Father,4
Athlead Employee,5
Dennis,3
Wade,1
Suit Store Son,3
Female Athlead Employee,5
3rd Athlead Employee,4
4th Athlead Employee,6
Co-worker,6
Co-worker #2,3
Mr. Romanko,2
Dance Teacher,5
Ballerinas,1
Parent in Audience,1
Parent in audience #2,2
Parent in audience #1,2
Investor,3
Lonnie,3
Fast Food Worker,2
Drive Thru Customer,10
Brian,4
Cameraman,1
Rolf,5
Gabor,10
Zeke,4
Melvina,6
Wolf,4
Sensei Ira,1
Pam & Dwight,1
Frank,5
Party Announcer,7
Party Guest,2
Party Photographer,8
Party Waiter,1
Nail stylist 1,11
Nail stylist 2,4
Nail manager,11
Shirley,3
Athlead Coworker,5
Roger,3
Alice,4
Oscar's Computer,9
Jeb,8
German Minister,6
Fannie,6
Henry,9
Esther,5
Aunt Shirley,13
Cameron,3
Promo Voice,34
Ryan Howard,6
Mr. Ruger,4
Promo Announcer,2
Ruger Sister 1,4
Salesmen,7
Ruger Sister 2,3
Angela & Oscar,1
Reporter #1,5
Reporter #2,3
Mrs. Davis,3
Phillip,1
Carla Fern,6
Director,4
Producer,3
Bob Vance, Vance Refrigeration,2
Production Assistant,8
Sensei,6
Philip,1
Check-in guy,3
Casey,4
Mark McGrath,13
Jim & Dwight,2
Camera Crew,3
People in line,2
Santigold,4
Aaron Rodgers,4
Clay Aiken,2
CameraMan,3
Malcolm,5
Casey Dean,3
Bill Hader,3
Seth Mayers,8
Dakota,4
Stripper,4
Jakey,2
Man 1,5
Woman 1,16
Woman 2,5
Man 2,3
Moderator,16
Man 3,7
Woman 3,6
Woman 4,9
Joan,4
Minister,8
Carol Stills,3
